Type;Udbudsform;Energimærke;Varmekilde;Byggeår;Rum;Bad;Toilet;Plan;Boligareal;Kælder;Garage;Grundareal;Kontantpris;Ejerudgift;address;description;zip code;Ombygget;Carport;Udhus;Fritliggende overdækning;Etage;Leje pr. md.;Depositum;Udestue;Ukendt bygning;Tiloversbleven landbrugsbygning;City;Road;Road1;full_address;latitude;longitude;distance to city;closest city
Villa;Salg;D;Fjernvarme;1972;4;1;2;3;170;50.0;32.0;818;3.998.000;2.976;Januarvej 5 8210 Aarhus V;Med adresse på Januarvej - der er blevet lukket for gennemkørende trafik - kommer I til at bo i et utroligt attraktivt, rekreativt og børnevenligt område med gåafstand til både indkøb, daginstitutioner og skole. Efter få minutter på cyklen kommer man til Aarhus C eller Skejby Sygehus. Aarhus Hovedbanegård ligger kun et kvarter væk i bil.Her udbydes nu nr. 5 til salg - en fantastisk skøn storvilla på hele 220 m2 fordelt på 170 m2 bolig samt en virkelig skøn og højloftet kælder på 50 m2.Til villaen er en fantastisk skøn, frodig og solrig have med stor græsplæne, træer, buske og bede. Desuden skønne kroge og hyggelige terrasser. En drøm for en børnefamilie!Foruden garagen på 32 m2, er der en spændende udestue, et stort drivhus og flere gode opbevaringsmuligheder.INDRETNING: Velkommen i entre der fører videre over i stor hall med masser af plads til sko og overtøj. Alternativt kan indgangen via bryggers benyttes, hvilken ligger i forlængelse til garagen. Stueplan byder på nogle fantastiske leverum, bl.a. den store vinkelstue med åben pejs. På den anden side af væggen er stort køkken placeret med det fineste kig til haven. Ønskes der køkken/alrum så er det oplagt at åbne op, og tillægge køkkenet til stuen. Desuden stor udestue og gæstetoilet.1. salen er højloftet og byder på stort repos, der kan benyttes til kontorplads/multirum, godt værelse samt 2 kæmpe store værelser der snildt kan laves til 3 store værelser, således der i alt er 4 store værelser. Desuden stort badeværelse med brus og badekar.Kælderen er højloftet og byder på stort multirum - tidligere benyttet til dagplejebørn - samt værksted og viktualie/ disponibelt rum, der evt. kan laves til bad/toilet.danbolig byder velkommen til et fantastisk skønt hus med en masse spændende muligheder!;8210;;;;;;;;;;;Aarhus V;Januarvej 5;Januarvej 5;Januarvej 5 Aarhus V;56,17439;10,16463;2,75503;Aarhus
Villa;Salg;C;Fjernvarme/blokvarme;1974;4;1;1;1;135;;;852;2.795.000;2.593;Ildfuglevænget 37, Hjallese 5260 Odense S;Velkommen til Ildfuglevænget 37, en fantastisk bolig beliggende i det hyggelige Torpegården i Hjallese. Denne velholdte ejendom vil uden tvivl imponere dig med sin moderne æstetik, rummelige layout og attraktive beliggenhed. Med en ideel blanding af komfort og funktionalitet vil du føle dig hjemme fra det øjeblik, du træder ind ad døren.Hvis drømmen er en villa der er fuldstændigt indflytningsklar, i et meget sikkert og børnevenligt kvarter, så er boligen her. Huset byder på 3 meget rummelige værelser og hvis man ønsker forældreafdeling med eget badeværelse, kan dette etableres i det nærliggende rum bag soveværelset, som er i fuldstændig boligkvalitet og med gulvvarme. Fra værelsesafdelingen er der adgang til det store moderne badeværelse, der indbyder til velvære og afslapning. I den rummelige stue, er der åbnet op til køkkenet, så man har den moderne planløsning med køkken/alrum. Fra stuen er der et fantastisk naturligt lys fra stuens mange vinduer. Der er ligeledes en terrassedør med udgang til haven, hvilket giver nem adgang til udendørsområdet. Boligen rummer også hovedindgang samt bryggersindgang med vaskefaciliteter.Haven strækker sig over en rummelig grund på 852 m2, og præsenterer sig som en grøn og overskuelig have, med mulighed for flere opholdssteder i haven, er der masser af plads til afslapning, socialt samvær og udendørs aktiviteter. Hvis bilen skal holde i tørvejr, byder boligen på en fin carport på 23 m2. Herfra kan haven tilgås nemt, med flot flisegang rundt om huset til begge indgange.Der er rig mulighed for at nyde naturen og tage nogle gode ture i de omkringliggende områder, hvor man via stisystemer, kan komme både til byen og Dalumskolen trygt. Samtidig er ejendommen tæt på hverdagens fornødenheder, herunder dagligvarebutikker og andre bekvemmeligheder.Samlet set er dette flotte hus i Hjallese, en imponerende bolig med god plads, et velholdt interiør og en indbydende have. Det tilbyder beboerne en behagelig og praktisk livsstil i et attraktivt område med nem adgang til både naturen og byens faciliteter.Lyder det som noget for dig, så giv os et kald allerede i dag.;5260;2005.0;23.0;10.0;;;;;;;;Odense S;Ildfuglevænget 37, Hjallese;Ildfuglevænget 37;Ildfuglevænget 37 Odense S;55,34878;10,38021;5,32236;Odense
Villa;Salg;C;Fjernvarme;2006;7;2;2;1;178;;;822;3.850.000;3.309;Søvangsparken 51, Revninge 5300 Kerteminde;Velkommen til Søvangsparken 51, en fortryllende villa, der vil indfri alle dine boligdrømme. Beliggende i det charmerende villakvarter i Kerteminde med postnummer 5300, kan du nu få fingrene i denne pragtfulde ejendom, der strækker sig over 178 kvadratmeter ren luksus, suppleret af en rummelig carport på 36 kvadratmeter. Med en grund på 822 kvadratmeter har du masser af plads til at folde dig ud og skabe minder med familie og venner. Når du træder ind i villaen, mødes du af fire elegante værelser, en fortryllende stue og et imponerende køkkenalrum hvor familiens smil blomstrer. Byggeåret 2006 sikrer moderne faciliteter og stilfuldt design, der passer perfekt ind i dagens livsstil.Den åbne stue er det sande centrum af boligen og indbyder til hyggelige stunder med sine varme farver og charmerende atmosfære. Her er der rig mulighed for at samles omkring pejsen og skabe uforglemmelige øjeblikke med dem, du holder af. Med ikke én, men to badeværelser, placeret strategisk i hver ende af huset, er der plads til både en børne og en voksen afdeling. Luksuriøs afslapning er blot et skridt væk. Udenfor venter en vidunderlig have, der inviterer til leg og sjov for børnene. Her kan I nyde solrige eftermiddage og milde sommeraftener. Beliggenheden er ikke til at slå! Tæt på Kerteminde by og alle dens fortryllende tilbud - shopping, restauranter, og endda spaophold på Great Northern er inden for rækkevidde.Du får den perfekte kombination af rolig, idyllisk bolig og muligheden for at nyde alt, hvad Kerteminde har at byde på. Så drøm ikke længere!Tag springet og oplev Søvangsparken 51 med egne øjne. Book en fremvisning, og lad dig fortrylle af dette enestående hjem. Velkommen til drømmehjemmet i Kerteminde!;5300;;36.0;11.0;;;;;;;;Kerteminde;Søvangsparken 51, Revninge;Søvangsparken 51;Søvangsparken 51 Kerteminde;55,43982;10,65255;17,26633;Odense
Villa;Salg;E;Centralvarme med én fyringsenhed;1930;7;2;2;3;234;40.0;;1.090;19.495.000;10.876;Schimmelmannsvej 9 2930 Klampenborg;Denne skønne villa fra 1930 er tegnet af arkitekt Henning Jørgensen – her er alt bevaret og nænsomt restaureret.I får god plads på de 234 kvadratmeter med et rummeligt køkken, to stuer en suite, 4 gode værelser på førstesal samt badeværelse og separat afdeling med stort værelse og badeværelse i stueplan.En tilbygningen fra 2013, rammer den smukke stil til perfektion. Denne kan med sit store værelse – med egen udgang til en stor terrasse og haven – finde anvendelse, som både, forældre-, teenage- eller au-pair-afdeling eller sågar hjemmekontor. Udover dette kan kælderen finde forskellig anvendelse, men fremstår i dag med det skønneste kolonialrum, samt vaske- og fyrrum.Fra husets havestue kommer man ud til et af villaens helt store aktiver – terrassen. En terrasse, som har dannet rammen om mange hyggelige øjeblikke og sammenkomster.Ude venter en sydvestvendt, solrig have – helt unikt beplantet med stauder og smukke frugttræer.Den solrige have har en meget alsidig beplantning, der bringer liv til plænen, og det absolutte plus er det fremragende, sydvest/vestvendte terrassemiljø. På den hævede terrasse kan I nyde en kold forfriskning til det fantastiske vue over haven.;2930;2013.0;;12.0;10.0;;;;;;;Klampenborg;Schimmelmannsvej 9;Schimmelmannsvej 9;Schimmelmannsvej 9 Klampenborg;55,76954;12,58593;10,46236;Copenhagen
Lejlighed;Leje;E;Centralvarme med én fyringsenhed;1923;5;1;1;1;114;;;3.001;;;Stationsvej 42, 1. 3460 Birkerød;Denne mondæne ejendom oser af romantik og charme. Navnet på ejendommen er Blanco- fordi den hvide facade på ejendommen, sammen med sit sort glaseret tegltag er meget iøjnfaldende- beliggende lige over for Birkerød Station.Lejligheden der udbydes til leje er med sine 114 kvadratmeter på 1. salen meget attraktiv. Du træder ind i ad døren og ser en totalt istandsat bolig med 3 fine og rummelige værelser, en lys stue med balkon og et splinternyt Svane køkken i en grålig nuance med god plads til spisebord. I køkkenet er der også integreret vaskemaskine og tørretumbler. Herudover er der et helt nyrenoveret badeværelse.Lyder det som noget for dig?Så kontakt danbolig Birkerød  på 4581 4581 for en fremvisning.;3460;2021.0;;;;1.0;14.000/md.;42.9;;;;Birkerød;Stationsvej 42, 1.;Stationsvej 42;Stationsvej 42 Birkerød;55,84092;12,42403;20,46457;Copenhagen
Villa;Salg;C;Centralvarme med én fyringsenhed;1988;4;2;2;1;133;;;785;4.995.000;3.403;Baunebjergvej 125A 3050 Humlebæk;Det er intet mindre end et paradis for børnefamilien, du finder her på Baunebjergvej 125A i Humlebæk. Etplansvillaen byder på 133 m2 veldisponerede m2, og da huset løbende er vedligeholdt og opdateret, fremstår det i rigtig god stand. Dertil kommer haven, der er lukket og fuldstændig ugeneret som en lille oase. En god og sikker legeplads for børn. Huset ligger på et roligt vænge i kort afstand til både skole, strand og skov samt til stationen og motorvejen. Her er tale om et forholdsvis ungt hus fra 1988. I 2015 fik huset en stor opgradering med nyt køkken og badeværelse, nye lofter og (fuldspartlede) vægge, ny el, nye vinduer (pånær et) og nyt gasfyr. Du kan således se frem til at flytte ind i en lys, moderne og meget velfungerende bolig. Indretningen er klassisk for hustypen med værelsesafdeling i den ene ende og de fælles opholdsrum i modsatte ende. De tre soveværelser er alle gode, store rum og deles om to badeværelser. Det er også i denne del af huset, I finder bryggerset, som har egen indgang udefra. Køkken og stue er samlet i et åbent rumforløb, hvilket skaber en god dynamik i huset. Køkkenet står skarpt med strømlinede, hvide fronter og sorte bordplader. Her er masser af bordplads, og køkkenet er dejligt funktionelt at arbejde i. Hvor køkken og stue mødes skabes naturligt en plads til spisebordet. Midt i stuen er placeret en brændeovn, der sørger for varme og hygge på kølige aftener. Stuens sydlige facade udgøres af et enormt vinduesparti, der også giver adgang til udemiljøet. Du træder ud på en lækker terrasse i brasiliansk hårdttræ, som fortsætter langs hele husfacaden. I alt er der terrasse på tre sider ar huset, hvilket skaber et friareal, hvor ungerne trygt kan cykle og løbe på rulleskøjter. Haven er som nævnt helt ugeneret, men samtidig nem at have med at gøre. Alt i alt en komplet pakke til børnefamilien eller til seniorparret, der ønsker en nem bolig tæt på alle fornødenheder.;3050;;43.0;;;;;;;;;Humlebæk;Baunebjergvej 125A;Baunebjergvej 125A;Baunebjergvej 125A Humlebæk;55,96354;12,52149;32,13741;Copenhagen
Villa;Salg;C;Fjernvarme;1922;3;2;2;2;127;28.0;47.0;496;1.945.000;2.523;Sophievej 2, Boldesager 6700 Esbjerg;Velkommen til villaen fra 1922 på Sophievej 2 i Esbjerg. Her skal I glæde jer til at se 127 kvm i halvandet plan, og hertil kommer en kælder på 28 kvm. Hjemmet fordeler sig med de dejlige opholdsrum i stueplan, en værelsesafdeling på første sal og endelig en masse disponible rum i kælderen. Udendørs får I en garage og en skøn have omkranset af planter.;6700;;;;;;;;22.0;12.0;;Esbjerg;Sophievej 2, Boldesager;Sophievej 2;Sophievej 2 Esbjerg;55,47617;8,46216;122,40561;Odense
Rækkehus;Salg;;Fjernvarme;2023;4;1;2;2;96;;;81;2.995.000;2.265;Skæring Fælled 28 8250 Egå;Livet blomstrer videre på den gamle Plantorama grund. Skæring Fælled har i over 30 år huset havecentret Plantorama, som i 2019 flyttede længere mod nord i Skæring. Med de nye arkitekttegnede rækkehuse får området nyt liv med familiefællesskaber i fuldt flor– og naturens elementer er stadig i fokus.De 60 rækkehuse er tegnet af det prisvindende arkitektfirma CEBRA. Intet er overladt tiltilfældighederne, og der er gennemtænkte løsninger inde og ude med særligt fokus på optimaleindretninger, god funktionalitet samt attraktive uderum.Mellem de nye rækkehuse i Skæring Fælled er der anlagt stier med bænke, som fungerer somopholdsarealer. Stierne er beplantede i forlængelse af haverne, og på de tværgående opholds stier kannabolagets børn lege, og forældre kan komme hinanden nærmere. Belysning af stierne sikrer, at det er trygt for børnene at lege med kammeraterne i nabolaget, når solen går ned.Nyd godt af den centrale beliggenhed, hvor du har alt hele familien behøver inden for rækkevidde. Daginstitution og skole findes indenfor kort afstand og Skæring Strand ligger blot 600 meter væk.Rækkehusene er nøje udtænkt til den moderne familieFra entréen træder du ind på de flotte, lyse Pergo-gulve, der går igen i hele boligen. Med gulvvarmeinstalleret i alle rum, kan du let temperere boligen med den integrerede rumtermostat.I det indbydende køkken-alrum kan I samles om madlavningen, middagen og andre hyggeligefamilieaktiviteter. Her får du fornøjelsen af et Svane-køkken med integrerede hårde hvidevarer (køle-/fryseskab, ovn, induktionskogeplader og opvaskemaskine) fra Siemens.På 1. sal ligger boligens forældresoveværelse og børneværelser. Forældresoveværelset er placeret påden modsatte side af børneværelserne adskilt af reposen, hvormed der er taget højde for privathed.Du kan læse mere om projektet her: skæringfælled.dkNB:Visualiseringer er vejledende.;8250;;;;;;;;;;;Egå;Skæring Fælled 28;Skæring Fælled 28;Skæring Fælled 28 Egå;56,22669;10,29318;9,00891;Aarhus
Landejendom / Fritidsbolig;Salg;F;Centralvarme med én fyringsenhed;1922;2;1;1;1;94;;70.0;0,6 ha;695.000;1.612;Sakskøbingvej 133 4990 Sakskøbing;På dette lille landsted får du en god ejendom i god stand med en 6.112 kvm stor grund, kun ca. 10 minutters kørsel til Sakskøbing.Ejendommen fremstår med røde mursten og eternittag fra ca. 70'erne.Beboelsen rummer 94 kvm samt 142 kvm udbygning med stald, garager og disponible rum.Der er også et gammelt hønsehus på 28 kvm.Beboelsen rummer indgang via stor entré, herfra adgang til lys stue med gulvtæpper. Fra stuen er der adgang til det store soveværelse.Fra stuen er der også adgang til stort spisekøkken, som er fra ca. midten af 00'erne. Det er lyst og meget nydeligt med laminatbordplade. Herfra er der udgang til terrasse.Fra køkkenet er der adgang til fyrrum og bryggers samt badeværelse i lyse nuancer med toilet, brus og vask.Der er gulvvarme i bryggers og badeværelse.1. salen er ikke udnyttet, men kan med fordel laves klar til beboelse.Ejendommen opvarmes med oliefyr og radiatorer.Meget af jorden drives i dag af landmanden, så der skal lige aftales, at han har mulighed for at høste sine afgrøder.;4990;;;28.0;;;;;;;72.0;Sakskøbing;Sakskøbingvej 133;Sakskøbingvej 133;Sakskøbingvej 133 Sakskøbing;54,73423;11,67485;110,26854;Odense
